movie_id,title,year,academy_award,won,run_time,budget,box_office,starring 1,starring 2,starring 3,starring 4,starring 5,starring 6,starring 7,starring 8,starring 9,starring 10,starring 11,starring 12,starring 13,starring 14,starring 15,starring 16,starring 17,starring 18,starring 19
boys-town-1938,Boys Town,1938,11,no,96,0.772,4.058,,,,,,,,,,,,,,,,,,,
the-citadel-1938,The Citadel,1938,11,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
four-daughters-1938,Four Daughters,1938,11,no,90,NA,NA,,,,,,,,,,,,,,,,,,,
grand-illusion-1938,Grand Illusion,1938,11,no,114,NA,NA,Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim,,,,,,,,,,,,,,,
jezebel-1938,Jezebel,1938,11,no,103,1.25,NA,Bette Davis, Henry Fonda, George Brent, Margaret Lindsay, Donald Crisp, Fay Bainter, Richard Cromwell, Henry O'Neill, Spring Byington, John Litel,,,,,,,,,
pygmalion-1938,Pygmalion,1938,11,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
test-pilot-1938,Test Pilot,1938,11,no,118,1.701,3.903,,,,,,,,,,,,,,,,,,,
gone-with-the-wind-1939,Gone with the Wind,1939,12,yes,NA,3.85,390,Clark Gable, Vivien Leigh, Leslie Howard, Olivia de Havilland,,,,,,,,,,,,,,,
dark-victory-1939,Dark Victory,1939,12,no,104,1,NA,,,,,,,,,,,,,,,,,,,
goodbye-mr-chips-1939,"Goodbye, Mr. Chips",1939,12,no,114,1.051,3.252,Robert Donat, Greer Garson, Terry Kilburn,,,,,,,,,,,,,,,,
love-affair-1939,Love Affair,1939,12,no,87,0.86,1.8,,,,,,,,,,,,,,,,,,,
mr-smith-goes-to-washington-1939,Mr. Smith Goes to Washington,1939,12,no,130,1.5,9,,,,,,,,,,,,,,,,,,,
ninotchka-1939,Ninotchka,1939,12,no,110,NA,2.3,,,,,,,,,,,,,,,,,,,
of-mice-and-men-1939,Of Mice and Men,1939,12,no,107,NA,NA,,,,,,,,,,,,,,,,,,,
stagecoach-1939,Stagecoach,1939,12,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-wizard-of-oz-1939,The Wizard of Oz,1939,12,no,101,2.8,3,Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin,,,,,,,,,,,
wuthering-heights-1939,Wuthering Heights,1939,12,no,103,NA,NA,,,,,,,,,,,,,,,,,,,
rebecca-1940,Rebecca,1940,13,yes,130,1.288,6,,,,,,,,,,,,,,,,,,,
all-this-and-heaven-too-1940,"All This, and Heaven Too",1940,13,no,141,NA,NA,,,,,,,,,,,,,,,,,,,
foreign-correspondent-1940,Foreign Correspondent,1940,13,no,120,1.4842,1.5984,Joel McCrea, Laraine Day, Herbert Marshall, George Sanders, Albert Basserman, Robert Benchley,,,,,,,,,,,,,
the-grapes-of-wrath-1940,The Grapes of Wrath,1940,13,no,129,0.8,2.5,Henry Fonda, Jane Darwell, John Carradine, Shirley Mills, John Qualen, Eddie Quillan,,,,,,,,,,,,,
the-great-dictator-1940,The Great Dictator,1940,13,no,124,2,5,,,,,,,,,,,,,,,,,,,
kitty-foyle-1940,Kitty Foyle,1940,13,no,108,0.738,2.385,,,,,,,,,,,,,,,,,,,
the-letter-1940,The Letter,1940,13,no,95,NA,NA,,,,,,,,,,,,,,,,,,,
the-long-voyage-home-1940,The Long Voyage Home,1940,13,no,105,0.6825,0.5801,John Wayne, Thomas Mitchell, Ian Hunter,,,,,,,,,,,,,,,,
our-town-1940,Our Town,1940,13,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-philadelphia-story-1940,The Philadelphia Story,1940,13,no,112,0.914,3.3,,,,,,,,,,,,,,,,,,,
how-green-was-my-valley-1941,How Green Was My Valley,1941,14,yes,118,0.8,2.8,,,,,,,,,,,,,,,,,,,
blossoms-in-the-dust-1941,Blossoms in the Dust,1941,14,no,99,1.112,2.658,,,,,,,,,,,,,,,,,,,
citizen-kane-1941,Citizen Kane,1941,14,no,119,0.8397,1.6,Orson Welles, Joseph Cotten, Dorothy Comingore, Everett Sloane, Ray Collins, George Coulouris, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland,,,,,,,,
here-comes-mr-jordan-1941,Here Comes Mr. Jordan,1941,14,no,94,NA,NA,Robert Montgomery, Evelyn Keyes, Claude Rains, Rita Johnson, Edward Everett Horton,,,,,,,,,,,,,,
hold-back-the-dawn-1941,Hold Back the Dawn,1941,14,no,116,NA,NA,,,,,,,,,,,,,,,,,,,
the-little-foxes-1941,The Little Foxes,1941,14,no,115,NA,NA,,,,,,,,,,,,,,,,,,,
the-maltese-falcon-1941,The Maltese Falcon,1941,14,no,101,0.381,NA,Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet,,,,,,,,,,,,
one-foot-in-heaven-1941,One Foot in Heaven,1941,14,no,108,NA,NA,,,,,,,,,,,,,,,,,,,
sergeant-york-1941,Sergeant York,1941,14,no,134,1.4,16.3619,,,,,,,,,,,,,,,,,,,
suspicion-1941,Suspicion,1941,14,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
mrs-miniver-1942,Mrs. Miniver,1942,15,yes,133,1.34,8.878,,,,,,,,,,,,,,,,,,,
